series	season	episode	title	stardate	air date
VOY	2	1	The 37's	48975.1	1995-08-28
VOY	2	2	Initiations	49005.3	1995-09-04
VOY	2	3	Projections	48892.1	1995-09-11
VOY	2	4	Elogium	48921.3	1995-09-18
VOY	2	5	Non Sequitur	49011.0	1995-09-25
DS9	4	1	The Way of the Warrior, Part I	49011.4	1995-10-02
DS9	4	2	The Way of the Warrior, Part II	49011.4	1995-10-02
VOY	2	6	Twisted	Unknown	1995-10-02
VOY	2	7	Parturition	49068.5	1995-10-09
DS9	4	3	The Visitor	49037.7	1995-10-09
DS9	4	4	Hippocratic Oath	49066.5	1995-10-16
DS9	4	5	Indiscretion	49122.4	1995-10-23
VOY	2	8	Persistence of Vision	49037.2	1995-10-30
DS9	4	6	Rejoined	49195.5	1995-10-30
DS9	4	7	Starship Down	49263.5	1995-11-06
VOY	2	9	Tattoo	49211.5	1995-11-06
DS9	4	8	Little Green Men	49201.3	1995-11-13
VOY	2	10	Cold Fire	49164.8	1995-11-13
VOY	2	11	Maneuvers	48423.0	1995-11-20
DS9	4	9	The Sword of Kahless	49263.5	1995-11-20
DS9	4	10	Our Man Bashir	49300.7	1995-11-27
VOY	2	12	Resistance	Unknown	1995-11-27
DS9	4	11	Homefront (Part 1)	49170.0	1996-01-01
DS9	4	12	Paradise Lost (Part 2)	49482.3	1996-01-08
VOY	2	13	Prototype	Unknown	1996-01-15
VOY	2	14	Alliances	49337.4	1996-01-22
DS9	4	13	Crossfire	49517.3	1996-01-29
VOY	2	15	Threshold	49373.4	1996-01-29
VOY	2	16	Meld	Unknown	1996-02-05
DS9	4	14	Return to Grace	49534.2	1996-02-05
DS9	4	15	Sons of Mogh	49556.2	1996-02-12
VOY	2	17	Dreadnought	49447.0	1996-02-12
DS9	4	16	Bar Association	49565.1	1996-02-19
VOY	2	18	Death Wish	49301.2	1996-02-19
VOY	2	19	Lifesigns	49504.3	1996-02-26
DS9	4	17	Accession	49600.7	1996-02-26
VOY	2	20	Investigations	49485.2	1996-03-13
VOY	2	21	Deadlock	49548.7	1996-03-18
VOY	2	22	Innocence	49578.2	1996-04-08
DS9	4	18	Rules of Engagement	49665.3	1996-04-08
DS9	4	19	Hard Time	49680.5	1996-04-15
DS9	4	20	Shattered Mirror	49699.1	1996-04-22
DS9	4	21	The Muse	49702.2	1996-04-29
VOY	2	23	The Thaw	Unknown	1996-04-29
DS9	4	22	For the Cause	49729.8	1996-05-06
VOY	2	24	Tuvix	49655.2	1996-05-06
DS9	4	23	To the Death	49904.2	1996-05-13
VOY	2	25	Resolutions	49690.1	1996-05-13
DS9	4	24	The Quickening	49909.7	1996-05-20
VOY	2	26	Basics, Part I	Unknown	1996-05-20
DS9	4	25	Body Parts	49930.3	1996-06-10
DS9	4	26	Broken Link	49962.4	1996-06-17
VOY	3	1	Basics, Part II	50023.4	1996-09-04
VOY	3	2	Flashback	50126.4	1996-09-11
VOY	3	3	The Chute	50156.2	1996-09-18
VOY	3	4	The Swarm	50252.3	1996-09-25
DS9	5	1	Apocalypse Rising	Unknown	1996-09-30
VOY	3	5	False Profits	50074.3	1996-10-02
DS9	5	2	The Ship	50049.3	1996-10-07
VOY	3	6	Remember	50203.1	1996-10-09
DS9	5	3	Looking for par'Mach in All the Wrong Places	Unknown	1996-10-14
DS9	5	4	...Nor the Battle to the Strong	Unknown	1996-10-21
DS9	5	5	The Assignment	Unknown	1996-10-28
VOY	3	7	Sacred Ground	50063.2	1996-10-30
DS9	5	6	Trials and Tribble-ations	4523.7	1996-11-04
VOY	3	8	Future's End, Part I	Unknown	1996-11-06
DS9	5	7	Let He Who Is Without Sin...	Unknown	1996-11-11
